CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance,CustomerCity,CustomerStateCode,CustomerState,CustomerCountry
11000,Jon,Yang,"Yang, Jon",1966-04-08,M,M,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,2005-07-22,1-2 Miles,Rockhampton,QLD,Queensland,Australia
11001,Eugene,Huang,"Huang, Eugene",1965-05-14,S,M,60000,3,3,Bachelors,Professional,0,1,2243 W St.,2005-07-18,0-1 Miles,Seaford,VIC,Victoria,Australia
11002,Ruben,Torres,"Torres, Ruben",1965-08-12,M,M,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,2005-07-10,2-5 Miles,Hobart,TAS,Tasmania,Australia
11003,Christy,Zhu,"Zhu, Christy",1968-02-15,S,F,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,2005-07-01,5-10 Miles,North Ryde,NSW,New South Wales,Australia
11004,Elizabeth,Johnson,"Johnson, Elizabeth",1968-08-08,S,F,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,2005-07-26,1-2 Miles,Wollongong,NSW,New South Wales,Australia
11005,Julio,Ruiz,"Ruiz, Julio",1965-08-05,S,M,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,2005-07-02,5-10 Miles,East Brisbane,QLD,Queensland,Australia
11006,Janet,Alvarez,"Alvarez, Janet",1965-12-06,S,F,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,2005-07-27,5-10 Miles,Matraville,NSW,New South Wales,Australia
11007,Marco,Mehta,"Mehta, Marco",1964-05-09,M,M,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,2005-07-12,0-1 Miles,Warrnambool,VIC,Victoria,Australia
11008,Rob,Verhoff,"Verhoff, Rob",1964-07-07,S,F,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,2005-07-28,10+ Miles,Bendigo,VIC,Victoria,Australia
11009,Shannon,Carlson,"Carlson, Shannon",1964-04-01,S,M,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,2005-07-30,5-10 Miles,Hervey Bay,QLD,Queensland,Australia
11010,Jacquelyn,Suarez,"Suarez, Jacquelyn",1964-02-06,S,F,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,2005-07-17,5-10 Miles,East Brisbane,QLD,Queensland,Australia
11011,Curtis,Lu,"Lu, Curtis",1963-11-04,M,M,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,2005-07-02,10+ Miles,East Brisbane,QLD,Queensland,Australia
